,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
2220,2220,co,florissant,0.0,0.0,0.0,0.0,104.0,47.0,0.5199999999999997,0.5199999999999997,201.7,91.09999999999998,260830.2653061225,2,0.004524886877828055,2.0170333392987803,5.41635798312135,2.3047058982127653
2295,2295,co,larkspur,1.0,0.0,0.25,0.0,183.0,90.0,1.5,1.5,122.39999999999992,60.199999999999974,629087.8979591837,4,0.005143040822886531,2.2624510897304293,5.798711330551243,2.087781417809542
2363,2363,co,peyton,2.0,0.0,0.3333333333333333,0.0,250.0,93.0,2.299999999999998,2.299999999999998,108.8000000000001,40.5,327354.62,6,0.005647058823529412,2.3979400086720375,5.515018474557993,2.0366288953621616
2436,2436,co,weston,2.0,0.0,2.0,0.0,55.0,47.0,3.099999999999997,3.099999999999997,17.700000000000017,15.200000000000006,190458.22448979595,1,0.0042780748663101605,1.7403626894942439,5.2797997313861105,1.247973266361807
2487,2487,ct,darien,0.0,0.0,0.0,0.0,20732.0,7074.0,23.48000000000001,12.660000000000007,1638.2000000000005,559.0,1355350.32,6,6.809592445892113e-05,4.316641200167494,6.132051562648789,3.2143669215966044
2509,2509,ct,greenwich,0.0,0.0,0.0,0.0,37056.5,16089.5,35.859999999999964,25.864999999999966,2216.0,1065.3499999999992,1359569.6,12,7.619525351192654e-05,4.568864397646988,6.1334014451873875,3.345569756056392
2546,2546,ct,newcanaan,1.0,0.0,0.3333333333333333,0.0,19738.0,7551.0,22.51999999999999,22.190000000000023,889.3000000000003,340.20000000000033,1277301.591836735,3,3.5762607809361456e-05,4.295303144637152,6.106293453415366,2.949048292315664
2671,2671,de,magnolia,2.0,4.0,0.16666666666666666,0.3333333333333333,225.0,96.0,0.12000000000000008,0.12000000000000008,1890.0,806.4000000000008,266379.02,12,0.012549019607843138,2.3521825181113627,5.4255000168307275,3.2764618041732443
2678,2678,de,newcastle,17.0,54.0,0.1574074074074074,0.5,5285.0,2497.0,3.519999999999996,3.3999999999999946,1554.8999999999967,734.6000000000006,186041.97413793104,108,0.0048082809282653455,3.723044991643445,5.2696109392713275,3.1917024635591926
2720,2720,fl,bascom,3.0,1.0,1.5,0.5,121.0,56.0,0.24000000000000016,0.24000000000000016,501.5,232.10000000000028,77628.59183673469,2,0.0038891589693728734,2.0827853703164503,4.890021708241448,2.700270937356437
