,State,County,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,LandArea,PopDensity,HousingPrice,NumIncidents,NumCities
ga-stewart,ga,stewart,1.0,1.0,0.5,0.5,4214.0,1266.0,4.779999999999999,881.589958158996,33052.41972144307,2,2
ne-knox,ne,knox,2.0,0.0,1.0,0.0,4708.0,2494.0,5.520000000000001,852.8985507246375,66546.96914998026,2,10
ne-boxbutte,ne,boxbutte,0.0,0.0,,,9294.0,4493.0,5.390000000000001,1724.3042671614098,91044.33015134853,0,2
ia-warren,ia,warren,0.0,0.0,,,31012.0,12304.0,33.89000000000001,915.0781941575684,188390.34867539344,0,12
il-wabash,il,wabash,0.0,0.0,,,7759.0,3669.0,5.159999999999997,1503.6821705426366,84793.1067131677,0,2
mi-ionia,mi,ionia,6.0,1.0,0.75,0.125,27028.0,9705.0,19.719999999999995,1370.588235294118,118870.49910313431,8,10
la-allen,la,allen,2.0,2.0,0.5,0.5,12791.0,4669.0,19.159999999999997,667.58872651357,79298.63835357924,4,5
pa-berks,pa,berks,43.0,50.0,0.524390243902439,0.6097560975609756,199229.0,82151.0,49.66999999999997,4011.052949466481,119090.14782344142,82,32
or-gilliam,or,gilliam,0.0,0.0,,,1289.0,795.0,3.6199999999999997,356.0773480662984,120153.78436657683,0,3
in-morgan,in,morgan,1.0,3.0,0.14285714285714285,0.42857142857142855,25541.0,10748.0,14.01,1823.054960742327,156308.07588502462,7,7
mo-polk,mo,polk,1.0,1.0,0.25,0.25,12557.0,5434.0,12.979999999999992,967.4114021571655,119532.07583394051,4,6
ny-hamilton,ny,hamilton,0.0,0.0,,,324.0,522.0,44.56999999999999,7.26946376486426,186269.32653061228,0,1
in-delaware,in,delaware,21.0,46.0,0.23863636363636365,0.5227272727272727,86844.0,39256.0,44.73999999999997,1941.081805990167,84567.08186121036,88,7
nc-stanly,nc,stanly,12.0,16.0,0.41379310344827586,0.5517241379310345,28472.0,12718.0,43.87999999999999,648.8605287146765,130904.46843059808,29,9
fl-suwannee,fl,suwannee,2.0,3.0,0.2857142857142857,0.42857142857142855,7562.0,3298.0,8.569999999999993,882.3803967327894,123810.59012524596,7,2
ne-gage,ne,gage,0.0,2.0,0.0,0.2857142857142857,16423.0,7987.0,13.839999999999993,1186.6329479768792,96868.16627785456,7,12
mn-pine,mn,pine,1.0,3.0,0.14285714285714285,0.42857142857142855,11697.0,4706.0,72.08000000000001,162.27802441731407,143247.5951889468,7,14
va-nortoncity,va,nortoncity,0.0,2.0,0.0,1.0,3958.0,1945.0,7.480000000000002,529.1443850267378,72012.14285714286,2,1
co-lake,co,lake,0.0,0.0,0.0,0.0,2602.0,1674.0,1.1000000000000008,2365.4545454545437,227388.75510204083,1,1
or-grant,or,grant,1.0,1.0,0.16666666666666666,0.16666666666666666,4160.0,2182.0,5.99,694.49081803005,152292.68079519697,6,6
tn-madison,tn,madison,44.0,149.0,0.13293051359516617,0.4501510574018127,65389.0,28135.0,54.699999999999676,1195.4113345521096,107276.12930070465,331,2
fl-duval,fl,duval,403.0,1109.0,0.17613636363636365,0.4847027972027972,864263.0,388486.0,762.1800000000001,1133.935553281377,183530.53715525725,2288,5
wi-clark,wi,clark,8.0,1.0,1.1428571428571428,0.14285714285714285,15175.166666666666,6725.333333333334,217.2433333333334,69.85331348871463,121343.8289061362,7,16
pa-huntingdon,pa,huntingdon,0.0,1.0,0.0,0.08333333333333333,12494.0,5543.0,8.209999999999999,1521.8026796589527,103524.17820631264,12,12
nh-cheshire,nh,cheshire,4.0,4.0,0.07142857142857142,0.07142857142857142,71391.0,32212.5,635.54,112.33124586965415,194455.80428099865,56,24
id-bonneville,id,bonneville,7.0,7.0,0.11666666666666667,0.11666666666666667,73963.0,28994.0,45.44999999999996,1627.3487348734889,201327.27443828306,60,6
ne-saunders,ne,saunders,1.0,1.0,0.2,0.2,12027.0,5172.0,7.5500000000000025,1592.9801324503305,161405.6087054311,5,14
mn-freeborn,mn,freeborn,2.0,4.0,0.031746031746031744,0.06349206349206349,22538.0,10538.0,20.080000000000005,1122.4103585657367,92927.77278449867,63,14
sc-fairfield,sc,fairfield,4.0,6.0,0.4,0.6,3915.0,1994.0,3.7999999999999985,1030.2631578947373,75059.96098258763,10,3
sd-beadle,sd,beadle,0.0,0.0,0.0,0.0,13173.0,6336.0,12.420000000000007,1060.628019323671,118808.36680903421,2,4
ok-dewey,ok,dewey,0.0,0.0,,,1994.0,967.0,1.65,1208.4848484848485,91190.22193613744,0,3
wa-snohomish,wa,snohomish,50.0,97.0,0.21645021645021645,0.4199134199134199,428133.0,176187.0,140.04,3057.2193658954584,450665.92260650254,231,20
tx-camp,tx,camp,3.0,4.0,0.6,0.8,4497.0,1806.0,3.3799999999999977,1330.473372781066,110786.6530612245,5,1
mn-douglas,mn,douglas,5.0,3.0,0.45454545454545453,0.2727272727272727,15827.0,8150.0,23.210000000000015,681.9043515725975,170534.39300333636,11,11
oh-lucas,oh,lucas,5.0,3.0,0.20833333333333334,0.125,70278.0,30081.0,63.09000000000001,1113.932477413219,177600.40009532112,24,10
fl-madison,fl,madison,2.0,10.0,0.10526315789473684,0.5263157894736842,4038.0,1911.0,6.250000000000006,646.0799999999994,95811.7430752801,19,3
mn-morrison,mn,morrison,1.0,1.0,0.25,0.25,14514.0,6578.0,39.12,371.0122699386503,154129.01581648167,4,16
mt-fergus,mt,fergus,0.0,0.0,0.0,0.0,6775.0,3511.0,10.37,653.3269045323048,170998.99585559088,1,6
il-piatt,il,piatt,1.0,0.0,0.25,0.0,11352.0,5032.0,8.510000000000003,1333.9600470035248,135865.56316310307,4,9
ks-riley,ks,riley,6.0,18.0,0.125,0.375,55919.0,23294.0,21.389999999999993,2614.2589995324925,196840.3970909562,48,5
or-multnomah,or,multnomah,16.0,19.0,0.38095238095238093,0.4523809523809524,135106.0,52309.0,33.34000000000002,4052.369526094779,319690.284598778,42,5
fl-wakulla,fl,wakulla,2.0,2.0,0.25,0.25,4975.0,2295.0,7.929999999999995,627.3644388398491,186852.4921204037,8,3
ga-camden,ga,camden,0.0,0.0,,,17358.0,7060.0,45.23000000000002,383.7718328543001,161677.21172457654,0,2
tx-cooke,tx,cooke,1.0,3.0,0.16666666666666666,0.5,21206.5,9252.5,31.434999999999988,674.6142834420235,132470.78502224988,6,6
ar-sebastian,ar,sebastian,24.0,32.0,0.24742268041237114,0.32989690721649484,105265.0,45887.0,93.42000000000002,1126.792977949047,106755.41212034345,97,9
nc-duplin,nc,duplin,6.0,4.0,0.4,0.26666666666666666,14159.0,6711.0,16.49,858.6416009702851,81964.63434264185,15,10
va-kinggeorge,va,kinggeorge,0.0,3.0,0.0,1.0,7110.0,2865.0,13.47999999999999,527.4480712166176,224364.55035794422,3,2
or-washington,or,washington,135.0,332.0,0.13132295719844359,0.3229571984435798,979089.0,423449.0,225.0899999999969,4349.766759962741,424798.0113725043,1028,17
ne-pawnee,ne,pawnee,0.0,0.0,,,1519.0,892.0,2.6300000000000003,577.5665399239543,66799.61759860895,0,6
va-halifax,va,halifax,4.0,10.0,0.3076923076923077,0.7692307692307693,10345.0,4940.0,28.139999999999986,367.62615493958793,103175.40307280805,13,6
ky-henderson,ky,henderson,10.0,22.0,0.16666666666666666,0.36666666666666664,30317.0,13819.0,19.33999999999998,1567.5801447776646,110328.39373967226,60,4
ar-cross,ar,cross,4.0,9.0,0.2857142857142857,0.6428571428571429,10395.0,4626.0,12.93000000000001,803.944315545243,69877.07175927008,14,4
tx-brazos,tx,brazos,25.0,40.0,0.18518518518518517,0.2962962962962963,170950.0,68181.0,104.2,1640.595009596929,206128.0814084453,135,5
tx-tarrant,tx,tarrant,346.0,377.0,0.45466491458607095,0.49540078843626806,1658111.0,656860.0,678.9600000000034,2442.133557205125,211549.8534498431,761,31
or-tillamook,or,tillamook,0.0,1.0,0.0,0.3333333333333333,10333.0,7789.0,11.330000000000002,912.0035304501322,306258.6410951079,3,11
sd-sanborn,sd,sanborn,0.0,1.0,0.0,1.0,173.0,83.0,0.6200000000000002,279.03225806451604,245206.3469387755,1,1
wa-pendoreille,wa,pendoreille,0.0,1.0,0.0,1.0,3191.0,1601.0,2.5700000000000003,1241.634241245136,193207.0267562365,1,5
nv-mineral,nv,mineral,0.0,0.0,,,3424.0,2022.0,4.029999999999998,849.627791563276,78025.4630695008,0,2
ut-davis,ut,davis,15.0,10.0,0.42857142857142855,0.2857142857142857,296610.0,94789.0,111.31,2664.7201509298357,309774.924344274,35,14
mo-moniteau,mo,moniteau,2.0,1.0,0.2857142857142857,0.14285714285714285,8260.0,3238.0,7.019999999999998,1176.638176638177,118804.34627699135,7,4
al-talladega,al,talladega,20.0,12.0,0.5714285714285714,0.34285714285714286,42251.0,19087.0,90.28000000000004,467.99955693398294,92984.70702762753,35,9
ia-bremer,ia,bremer,2.0,1.0,0.2857142857142857,0.14285714285714285,17352.0,7045.0,18.879999999999992,919.0677966101699,157526.22538016542,7,8
md-saintmarys,md,saintmarys,2.0,4.0,0.125,0.25,30667.0,12603.0,34.76999999999999,881.9959735404087,269270.6075391833,16,7
nc-surry,nc,surry,8.0,8.0,0.42105263157894735,0.42105263157894735,17776.0,8815.0,23.37999999999998,760.3079555175369,118289.73043619988,19,5
